row,cluster
1405,10
1406,8
1407,4
1408,5
1409,7
1410,9
1411,2
1412,9
1413,0
1414,1
1415,1
1416,7
1417,2
1418,10
1419,10
1420,5
1421,5
1422,5
1423,10
1424,8
1425,2
1426,1
1427,11
1428,9
1429,11
1430,10
1431,2
1432,11
1433,10
1434,11
1435,0
1436,10
1437,4
1438,2
1439,6
1440,6
1441,8
1442,11
1443,11
1444,11
1445,0
1446,3
1447,6
1448,9
1449,5
1450,9
1451,4
1452,10
1453,4
1454,11
1455,1
1456,4
1457,2
1458,5
1459,6
1460,8
1461,0
1462,9
1463,7
1464,9
1465,8
1466,4
1467,6
1468,7
1469,11
1470,0
1471,1
1472,4
1473,0
1474,10
1475,2
1476,9
1477,9
1478,0
1479,11
1480,4
1481,11
1482,0
1483,8
1484,1
1485,1
1486,1
1487,0
1488,5
1489,2
1490,10
1491,0
1492,0
1493,6
1494,0
1495,2
1496,2
1497,8
1498,2
1499,0
1500,8
1501,10
1502,0
1503,3
1504,0
1505,2
1506,6
1507,9
1508,8
1509,3
1510,4
1511,2
1512,7
1513,5
1514,6
1515,10
1516,2
1517,7
1518,5
1519,10
1520,9
1521,8
1522,0
1523,7
1524,10
1525,11
1526,9
1527,4
1528,2
1529,4
1530,1
1531,4
1532,1
1533,10
1534,2
1535,4
1536,3
1537,11
1538,6
1539,5
1540,8
1541,5
1542,9
1543,2
1544,3
1545,0
1546,1
1547,6
1548,8
1549,7
1550,6
1551,0
1552,4
1553,9
1554,5
1555,8
1556,2
1557,1
1558,9
1559,2
1560,2
1561,3
1562,8
1563,5
1564,8
1565,10
1566,8
1567,11
1568,10
1569,0
1570,9
1571,2
1572,1
1573,3
1574,1
1575,6
1576,1
1577,2
1578,9
1579,11
1580,8
1581,8
1582,0
1583,0
1584,3
1585,5
1586,0
1587,2
1588,9
1589,4
1590,7
1591,7
1592,1
1593,6
1594,5
1595,6
1596,7
1597,5
1598,8
1599,11
1600,5
1601,5
1602,2
1603,11
1604,0
1605,5
1606,8
1607,0
1608,2
1609,11
1610,7
1611,8
1612,5
1613,7
1614,1
1615,0
1616,10
1617,0
1618,4
1619,2
1620,3
1621,4
1622,11
1623,11
1624,4
1625,5
1626,0
1627,1
1628,9
1629,0
1630,1
1631,4
1632,0
1633,2
1634,5
1635,6
1636,9
1637,10
1638,0
1639,7
1640,8
1641,6
1642,5
1643,6
1644,0
1645,0
1646,1
1647,5
1648,9
1649,4
1650,3
1651,10
1652,5
1653,8
1654,8
1655,1
1656,9
1657,5
1658,5
1659,11
1660,11
1661,1
1662,11
1663,10
1664,3
1665,7
1666,2
1667,10
1668,6
1669,9
1670,1
1671,5
1672,10
1673,9
1674,2
1675,11
1676,5
1677,10
1678,0
1679,5
1680,8
1681,4
1682,7
1683,1
1684,3
1685,8
1686,5
1687,10
1688,10
1689,4
1690,9
1691,6
1692,5
1693,4
1694,8
1695,1
1696,0
1697,10
1698,2
1699,5
1700,7
1701,6
1702,10
1703,5
1704,4
1705,10
1706,1
1707,1
1708,7
1709,0
1710,10
1711,2
1712,6
1713,2
1714,11
1715,1
1716,1
1717,4
1718,5
1719,11
1720,11
1721,0
1722,0
1723,10
1724,4
1725,0
1726,5
1727,7
1728,5
1729,7
1730,7
1731,8
1732,8
1733,8
1734,7
1735,8
1736,6
1737,0
1738,10
1739,10
1740,11
1741,0
1742,2
1743,2
1744,10
1745,8
1746,0
1747,8
1748,6
1749,6
1750,10
1751,5
1752,0
1753,4
1754,2
1755,4
1756,2
1757,10
1758,5
1759,11
1760,10
1761,9
1762,1
1763,0
1764,9
1765,5
1766,1
1767,11
1768,11
1769,0
1770,2
1771,10
1772,2
1773,3
1774,2
1775,1
1776,2
1777,0
1778,0
1779,7
1780,5
1781,8
1782,3
1783,3
1784,1
1785,10
1786,0
1787,3
1788,5
1789,10
1790,10
1791,4
1792,1
1793,10
1794,0
1795,7
1796,8
1797,1
1798,11
1799,4
1800,5
1801,7
1802,10
1803,2
1804,0
1805,2
1806,5
1807,7
1808,9
1809,0
1810,11
1811,5
1812,9
1813,10
1814,4
1815,4
1816,3
1817,9
1818,5
1819,2
1820,11
1821,9
1822,9
1823,11
1824,1
1825,8
1826,0
1827,3
1828,7
1829,3
1830,9
1831,2
1832,2
1833,8
1834,7
1835,6
1836,7
1837,2
1838,11
1839,5
1840,6
1841,4
1842,9
1843,2
1844,9
1845,0
1846,4
1847,6
1848,2
1849,4
1850,5
1851,0
1852,11
1853,9
1854,4
1855,3
1856,6
1857,10
1858,10
1859,8
1860,6
1861,5
1862,8
1863,9
1864,5
1865,0
1866,0
1867,2
1868,8
1869,1
1870,1
1871,10
1872,5
1873,3
1874,5
1875,10
1876,11
1877,1
1878,4
1879,5
1880,11
1881,10
1882,10
1883,7
1884,5
1885,10
1886,8
1887,11
1888,11
1889,10
1890,8
1891,10
1892,1
1893,1
1894,2
1895,0
1896,9
1897,9
1898,5
1899,9
1900,6
1901,6
1902,5
1903,1
1904,5
1905,2
1906,5
1907,2
1908,6
1909,6
1910,5
1911,10
1912,4
1913,4
1914,11
1915,11
1916,2
1917,8
1918,9
1919,0
1920,7
1921,5
1922,8
1923,6
1924,4
1925,10
1926,0
1927,10
1928,10
1929,1
1930,2
1931,8
1932,5
1933,6
1934,5
1935,11
1936,10
1937,0
1938,2
1939,8
1940,1
1941,4
1942,1
1943,5
1944,8
1945,2
1946,2
1947,10
1948,1
1949,11
1950,10
1951,4
1952,0
1953,0
1954,8
1955,7
1956,5
1957,5
1958,10
1959,5
1960,10
1961,3
1962,8
1963,8
1964,5
1965,0
1966,1
1967,6
1968,10
1969,2
1970,8
1971,10
1972,5
1973,9
1974,6
1975,0
1976,10
1977,10
1978,6
1979,1
1980,9
1981,2
1982,4
1983,10
1984,7
1985,3
1986,9
1987,10
1988,10
1989,5
1990,11
1991,9
1992,0
1993,10
1994,0
1995,10
1996,5
1997,6
1998,4
1999,6
2000,10
2001,7
2002,2
2003,4
2004,5
2005,11
2006,10
2007,2
2008,8
2009,11
2010,5
2011,1
2012,10
2013,11
2014,8
2015,3
2016,11
2017,10
2018,10
2019,8
2020,10
2021,2
2022,4
2023,0
2024,11
2025,5
2026,9
2027,5
2028,4
2029,8
2030,2
2031,0
2032,5
2033,10
2034,5
2035,7
2036,10
2037,10
2038,5
2039,8
2040,4
2041,10
2042,4
2043,2
2044,10
2045,2
2046,10
2047,8
2048,8
2049,0
2050,5
2051,8
2052,2
2053,0
2054,0
2055,4
2056,4
2057,8
2058,0
2059,10
2060,1
2061,7
2062,5
2063,0
2064,1
2065,1
2066,8
2067,4
2068,3
2069,7
2070,10
2071,1
2072,9
2073,11
2074,6
2075,8
2076,8
2077,6
2078,0
2079,3
2080,8
2081,0
2082,2
2083,4
2084,2
2085,7
2086,4
2087,6
2088,9
2089,2
2090,5
2091,0
2092,9
2093,7
2094,0
2095,5
2096,4
2097,0
2098,8
2099,1
2100,9
2101,10
2102,11
2103,0
2104,6
2105,1
2106,11
2107,8
2108,11
2109,4
2110,11
2111,4
2112,8
2113,2
2114,0
2115,6
2116,1
2117,8
2118,11
2119,6
2120,10
2121,1
2122,5
2123,2
2124,0
2125,6
2126,10
2127,5
2128,6
2129,0
2130,1
2131,8
2132,10
2133,1
2134,0
2135,9
2136,9
2137,1
2138,11
2139,10
2140,9
2141,11
2142,11
2143,8
2144,1
2145,9
2146,2
2147,9
2148,10
2149,5
2150,5
2151,7
2152,10
2153,10
2154,10
2155,0
2156,2
2157,1
2158,0
2159,4
2160,0
2161,11
2162,11
2163,0
2164,6
2165,8
2166,0
2167,1
2168,8
2169,2
2170,1
2171,7
2172,3
2173,11
2174,10
2175,4
2176,9
2177,5
2178,1
2179,1
2180,8
2181,0
2182,8
2183,6
2184,0
2185,0
2186,5
2187,10
2188,10
2189,0
2190,1
2191,3
2192,9
2193,7
2194,0
2195,5
2196,11
2197,10
2198,11
2199,10
2200,6
2201,9
2202,9
2203,7
2204,2
2205,5
2206,1
2207,1
2208,5
2209,10
2210,0
2211,5
2212,11
2213,5
2214,10
2215,10
2216,5
2217,6
2218,8
2219,2
2220,4
2221,0
2222,8
2223,1
2224,3
2225,2
2226,4
2227,7
2228,9
2229,0
2230,1
2231,2
2232,4
2233,6
2234,6
2235,0
2236,5
2237,5
2238,9
2239,4
2240,2
2241,8
2242,5
2243,6
2244,6
2245,1
2246,5
2247,10
2248,1
2249,3
2250,7
2251,2
2252,5
2253,3
2254,10
2255,7
2256,2
2257,6
2258,6
2259,4
2260,8
2261,5
2262,6
2263,10
2264,2
2265,10
2266,0
2267,1
2268,5
2269,11
2270,1
2271,4
2272,10
2273,2
2274,4
2275,0
2276,5
2277,10
2278,4
2279,8
2280,8
2281,1
2282,7
2283,9
2284,10
2285,11
2286,5
2287,0
2288,8
2289,11
2290,5
2291,0
2292,2
2293,10
2294,2
2295,1
2296,11
2297,6
2298,8
2299,8
2300,2
2301,5
2302,8
2303,9
2304,11
2305,1
2306,5
2307,9
2308,5
2309,5
2310,0
2311,11
2312,10
2313,8
2314,2
2315,2
2316,4
2317,7
2318,0
2319,2
2320,5
2321,9
2322,4
2323,5
2324,9
2325,0
2326,1
2327,10
2328,10
2329,9
2330,11
2331,2
2332,8
2333,6
2334,5
2335,4
2336,5
2337,5
2338,5
2339,1
2340,5
2341,4
2342,9
2343,5
2344,7
2345,2
2346,8
2347,0
2348,10
2349,2
2350,4
2351,2
2352,5
2353,0
2354,0
2355,1
2356,6
2357,11
2358,9
2359,11
2360,11
2361,11
2362,5
2363,10
2364,11
2365,10
2366,3
2367,9
2368,5
2369,5
2370,8
2371,11
2372,9
2373,4
2374,8
2375,9
2376,10
2377,9
2378,1
2379,11
2380,3
2381,1
2382,8
2383,0
2384,5
2385,10
2386,1
2387,5
2388,3
2389,1
2390,5
2391,0
2392,11
2393,9
2394,6
2395,2
2396,1
2397,2
2398,11
2399,7
2400,6
2401,11
2402,4
2403,10
2404,8
2405,5
2406,5
2407,5
2408,6
2409,10
2410,11
2411,11
2412,11
2413,7
2414,2
2415,7
2416,6
2417,6
2418,11
2419,5
2420,9
2421,1
2422,5
2423,2
2424,11
2425,0
2426,1
2427,6
2428,5
2429,4
2430,1
2431,5
2432,4
2433,10
2434,8
2435,0
2436,5
2437,9
2438,5
2439,11
2440,5
2441,0
2442,1
2443,10
2444,9
2445,8
2446,9
2447,2
2448,7
2449,0
2450,2
2451,6
2452,2
2453,9
2454,0
2455,3
2456,10
2457,10
2458,10
2459,11
2460,5
2461,1
2462,6
2463,11
2464,1
2465,10
2466,0
2467,11
2468,4
2469,2
2470,1
2471,2
2472,5
2473,3
2474,7
2475,5
2476,4
2477,6
2478,6
2479,1
2480,3
2481,2
2482,10
2483,8
2484,10
2485,8
2486,6
2487,5
2488,11
2489,6
2490,6
2491,6
2492,1
2493,2
2494,8
2495,0
2496,11
2497,4
2498,2
2499,2
2500,7
2501,11
2502,10
2503,5
2504,4
2505,9
2506,2
2507,8
2508,0
2509,5
2510,10
2511,8
2512,5
2513,6
2514,2
2515,6
2516,6
2517,2
2518,6
2519,5
2520,10
2521,8
2522,2
2523,2
2524,1
2525,6
2526,10
2527,2
2528,10
2529,5
2530,11
2531,0
2532,5
2533,8
2534,11
2535,9
2536,10
2537,3
2538,6
2539,2
2540,6
2541,11
2542,2
2543,0
2544,11
2545,1
2546,2
2547,0
2548,1
2549,5
2550,8
2551,10
2552,11
2553,4
2554,5
2555,0
2556,2
2557,2
2558,8
2559,4
2560,0
2561,0
2562,11
2563,7
2564,11
2565,1
2566,9
2567,8
2568,9
2569,8
2570,7
2571,7
2572,0
2573,10
2574,8
2575,5
2576,4
2577,5
