row,cluster
1283,11
1284,1
1285,0
1286,1
1287,9
1288,0
1289,8
1290,0
1291,6
1292,7
1293,11
1294,8
1295,11
1296,6
1297,4
1298,2
1299,2
1300,4
1301,4
1302,9
1303,7
1304,2
1305,4
1306,2
1307,6
1308,10
1309,7
1310,7
1311,5
1312,9
1313,4
1314,10
1315,0
1316,7
1317,7
1318,3
1319,11
1320,6
1321,1
1322,8
1323,8
1324,9
1325,4
1326,10
1327,6
1328,9
1329,7
1330,7
1331,1
1332,10
1333,5
1334,9
1335,8
1336,1
1337,10
1338,7
1339,7
1340,6
1341,5
1342,10
1343,6
1344,4
1345,6
1346,9
1347,7
1348,5
1349,8
1350,4
1351,6
1352,1
1353,6
1354,4
1355,7
1356,6
1357,9
1358,4
1359,8
1360,2
1361,3
1362,5
1363,10
1364,1
1365,6
1366,7
1367,5
1368,6
1369,8
1370,7
1371,6
1372,5
1373,2
1374,2
1375,11
1376,11
1377,10
1378,10
1379,1
1380,6
1381,11
1382,8
1383,8
1384,3
1385,11
1386,10
1387,6
1388,2
1389,7
1390,9
1391,1
1392,5
1393,10
1394,2
1395,8
1396,6
1397,1
1398,0
1399,9
1400,11
1401,3
1402,2
1403,5
1404,2
1405,7
1406,2
1407,11
1408,5
1409,1
1410,8
1411,6
1412,8
1413,9
1414,10
1415,10
1416,1
1417,6
1418,7
1419,7
1420,5
1421,3
1422,5
1423,7
1424,2
1425,6
1426,10
1427,4
1428,8
1429,4
1430,7
1431,6
1432,4
1433,7
1434,4
1435,9
1436,7
1437,11
1438,6
1439,0
1440,0
1441,2
1442,4
1443,4
1444,4
1445,9
1446,1
1447,0
1448,5
1449,5
1450,8
1451,11
1452,7
1453,11
1454,4
1455,10
1456,11
1457,6
1458,5
1459,0
1460,2
1461,9
1462,8
1463,1
1464,8
1465,2
1466,11
1467,0
1468,1
1469,4
1470,9
1471,10
1472,11
1473,9
1474,7
1475,6
1476,8
1477,8
1478,9
1479,4
1480,11
1481,4
1482,9
1483,2
1484,10
1485,10
1486,10
1487,9
1488,3
1489,6
1490,7
1491,9
1492,9
1493,0
1494,9
1495,6
1496,6
1497,2
1498,6
1499,9
1500,2
1501,7
1502,9
1503,1
1504,9
1505,6
1506,0
1507,8
1508,2
1509,1
1510,11
1511,6
1512,1
1513,3
1514,0
1515,7
1516,6
1517,1
1518,5
1519,7
1520,8
1521,2
1522,9
1523,1
1524,7
1525,4
1526,8
1527,11
1528,6
1529,11
1530,10
1531,11
1532,10
1533,7
1534,6
1535,11
1536,1
1537,4
1538,0
1539,3
1540,2
1541,3
1542,8
1543,6
1544,1
1545,9
1546,10
1547,0
1548,2
1549,1
1550,0
1551,9
1552,11
1553,8
1554,3
1555,2
1556,6
1557,10
1558,8
1559,6
1560,6
1561,1
1562,2
1563,5
1564,2
1565,7
1566,2
1567,4
1568,7
1569,9
1570,5
1571,6
1572,10
1573,1
1574,10
1575,0
1576,10
1577,6
1578,8
1579,4
1580,2
1581,2
1582,9
1583,9
1584,1
1585,3
1586,9
1587,6
1588,8
1589,11
1590,1
1591,1
1592,10
1593,0
1594,5
1595,0
1596,1
1597,5
1598,2
1599,4
1600,5
1601,5
1602,6
1603,4
1604,9
1605,3
1606,2
1607,9
1608,6
1609,4
1610,1
1611,2
1612,5
1613,1
1614,10
1615,9
1616,7
1617,9
1618,11
1619,6
1620,1
1621,11
1622,4
1623,4
1624,11
1625,3
1626,9
1627,10
1628,8
1629,9
1630,10
1631,11
1632,9
1633,6
1634,3
1635,0
1636,8
1637,7
1638,9
1639,1
1640,2
1641,0
1642,5
1643,0
1644,5
1645,5
1646,10
1647,3
1648,8
1649,11
1650,1
1651,7
1652,5
1653,2
1654,2
1655,10
1656,8
1657,5
1658,3
1659,4
1660,4
1661,10
1662,4
1663,7
1664,1
1665,1
1666,6
1667,7
1668,0
1669,8
1670,10
1671,5
1672,7
1673,8
1674,6
1675,4
1676,5
1677,7
1678,9
1679,3
1680,2
1681,11
1682,1
1683,10
1684,1
1685,2
1686,5
1687,7
1688,7
1689,11
1690,8
1691,0
1692,5
1693,11
1694,2
1695,10
1696,9
1697,7
1698,6
1699,5
1700,1
1701,0
1702,7
1703,3
1704,11
1705,7
1706,10
1707,10
1708,1
1709,5
1710,7
1711,6
1712,0
1713,6
1714,4
1715,10
1716,10
1717,11
1718,5
1719,4
1720,4
1721,9
1722,9
1723,7
1724,11
1725,9
1726,5
1727,1
1728,5
1729,1
1730,1
1731,2
1732,2
1733,2
1734,1
1735,2
1736,0
1737,9
1738,7
1739,7
1740,4
1741,9
1742,6
1743,6
1744,7
1745,2
1746,9
1747,2
1748,0
1749,0
1750,7
1751,3
1752,9
1753,11
1754,6
1755,11
1756,6
1757,7
1758,5
1759,4
1760,7
1761,5
1762,10
1763,9
1764,8
1765,3
1766,10
1767,4
1768,4
1769,9
1770,6
1771,7
1772,6
1773,7
1774,6
1775,10
1776,6
1777,9
1778,9
1779,1
1780,3
1781,2
1782,1
1783,1
1784,10
1785,7
1786,5
1787,1
1788,3
1789,7
1790,7
1791,11
1792,10
1793,7
1794,9
1795,1
1796,2
1797,10
1798,4
1799,11
1800,3
1801,1
1802,7
1803,6
1804,5
1805,6
1806,5
1807,1
1808,8
1809,9
1810,4
1811,3
1812,8
1813,7
1814,11
1815,11
1816,1
1817,8
1818,3
1819,6
1820,4
1821,8
1822,8
1823,4
1824,10
1825,2
1826,9
1827,1
1828,1
1829,1
1830,8
1831,6
1832,6
1833,2
1834,1
1835,0
1836,1
1837,6
1838,4
1839,3
1840,0
1841,11
1842,8
1843,6
1844,8
1845,9
1846,11
1847,0
1848,6
1849,11
1850,5
1851,9
1852,4
1853,8
1854,11
1855,1
1856,0
1857,7
1858,7
1859,2
1860,0
1861,3
1862,2
1863,8
1864,5
1865,9
1866,9
1867,6
1868,9
1869,10
1870,10
1871,7
1872,3
1873,1
1874,3
1875,7
1876,4
1877,10
1878,11
1879,0
1880,4
1881,7
1882,7
1883,1
1884,5
1885,7
1886,2
1887,4
1888,4
1889,7
1890,2
1891,7
1892,10
1893,10
1894,6
1895,9
1896,8
1897,8
1898,5
1899,8
1900,0
1901,0
1902,5
1903,10
1904,3
1905,6
1906,5
1907,6
1908,0
1909,0
1910,5
1911,7
1912,11
1913,11
1914,4
1915,4
1916,6
1917,2
1918,8
1919,9
1920,1
1921,5
1922,2
1923,0
1924,11
1925,7
1926,9
1927,7
1928,7
1929,10
1930,6
1931,2
1932,3
1933,0
1934,3
1935,4
1936,7
1937,9
1938,6
1939,2
1940,10
1941,11
1942,10
1943,5
1944,2
1945,6
1946,6
1947,7
1948,10
1949,4
1950,7
1951,11
1952,9
1953,9
1954,2
1955,10
1956,5
1957,5
1958,7
1959,5
1960,7
1961,1
1962,2
1963,2
1964,3
1965,9
1966,10
1967,0
1968,7
1969,6
1970,2
1971,7
1972,5
1973,8
1974,0
1975,9
1976,7
1977,7
1978,0
1979,10
1980,8
1981,6
1982,11
1983,7
1984,1
1985,1
1986,8
1987,7
1988,7
1989,5
1990,4
1991,8
1992,9
1993,7
1994,9
1995,7
1996,3
1997,0
1998,11
1999,0
2000,7
2001,1
2002,6
